unique_reference_number,authority_code,establishment_type_code,pupil_number,pupil_boys,pupil_girls,gender_type,gender_category,religious_type,religious_classification,percent_pupil_boys,percent_pupil_girls,percent_ehc_plan,percent_sen_support,percent_english_language,percent_not_english_language,percent_free_school_meals,rating
100556,208,1,221,95,126,3,Mixed,2,Not applicable,43,57,2,13,60,38,39,Outstanding
100560,208,1,409,213,196,3,Mixed,2,Not applicable,52,47,2,13,65,34,44,Good
100564,208,1,640,307,333,3,Mixed,2,Not applicable,48,52,2,8,42,56,51,Outstanding
100566,208,1,386,199,187,3,Mixed,2,Not applicable,51,48,2,10,66,33,40,Good
100567,208,1,790,401,389,3,Mixed,2,Not applicable,50,49,2,2,53,46,17,Outstanding
100572,208,1,323,167,156,3,Mixed,2,Not applicable,51,48,3,7,71,28,39,Outstanding
100574,208,1,519,265,254,3,Mixed,2,Not applicable,51,48,1,24,62,37,45,Good
100576,208,1,326,172,154,3,Mixed,2,Not applicable,52,47,19,26,30,69,55,Good
100577,208,1,501,259,242,3,Mixed,2,Not applicable,51,48,2,15,67,32,22,Requires improvement
100578,208,1,274,144,130,3,Mixed,2,Not applicable,52,47,4,18,45,54,47,Good
100582,208,1,440,238,202,3,Mixed,2,Not applicable,54,45,2,12,45,54,54,Good
100584,208,1,313,158,155,3,Mixed,2,Not applicable,50,49,4,15,58,41,45,Good
100585,208,1,426,207,219,3,Mixed,2,Not applicable,48,51,4,16,41,58,50,Good
100586,208,1,422,217,205,3,Mixed,2,Not applicable,51,48,3,15,75,24,16,Outstanding
100588,208,5,227,114,113,3,Mixed,2,Not applicable,50,49,1,22,32,67,60,Good
100589,208,1,350,166,184,3,Mixed,2,Not applicable,47,52,2,11,57,42,30,Good
100590,208,1,1548,795,753,3,Mixed,2,Not applicable,51,48,2,9,47,52,28,Good
100591,208,5,475,285,190,3,Mixed,2,Not applicable,60,40,21,20,37,62,56,Outstanding
100593,208,1,286,162,124,3,Mixed,2,Not applicable,56,43,7,13,64,35,44,Good
100595,208,1,334,167,167,3,Mixed,2,Not applicable,50,50,3,21,50,49,54,Requires improvement
100597,208,1,390,183,207,3,Mixed,2,Not applicable,46,53,3,12,63,35,33,Good
100598,208,1,387,208,179,3,Mixed,2,Not applicable,53,46,11,18,41,58,49,Good
100601,208,1,166,79,87,3,Mixed,2,Not applicable,47,52,5,22,47,52,71,Good
100602,208,5,1005,464,541,3,Mixed,2,Not applicable,46,53,3,12,60,39,22,Good
100604,208,1,224,98,126,3,Mixed,2,Not applicable,43,56,3,7,47,52,40,Outstanding
100609,208,2,326,157,169,3,Mixed,1,Church of England,48,51,6,18,54,44,46,Outstanding
100610,208,2,183,93,90,3,Mixed,1,Church of England,50,49,2,14,75,24,43,Good
